Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
3/3/2018,0.421875,Positive,0,5.0 star rating,5.0 ,Great  place to get a your a hair cut. Professional friendly and welcoming. The place is clean Gorky is super nice and great barber. I will be back.
3/30/2018,0.5083333333333333,Positive,0,5.0 star rating,5.0 ,"Gorky has been my barber for about a year now. Great dude, real nice, and knows his stuff. The location is super convenient with parking in the back."
