work_zip,home_zip,gender_values,age,race_values,income_values,days_last_values,time_between_values,products_values,spend_values,max_spend_values,how_find_values,review_values,price,convenient,atmosphere,amenities
90630,92704,1,25,5,5,3,6,0,4,4,3,3,5,5,4,2
28262,28202,1,27,4,6,5,7,0,2,2,1,2,5,2,1,1
91342,91423,0,29,4,4,0,0,0,2,4,2,1,2,5,1,4
91342,91342,1,30,4,4,3,6,0,0,2,0,2,5,5,4,1
91789,92805,0,50,3,0,6,6,1,5,6,2,2,5,5,5,5
21108,21108,0,25,1,4,0,7,0,3,3,1,1,5,5,4,5
92683,92804,1,21,1,3,4,0,0,3,3,3,2,2,2,5,5
94080,94578,1,35,1,6,2,2,0,0,3,2,2,3,5,4,4
92780,92627,1,32,1,4,1,4,0,2,3,1,2,4,5,3,2
1730,1801,1,32,4,7,3,3,0,3,3,0,2,3,5,5,1
92705,91748,1,32,1,4,2,0,0,0,1,2,2,5,4,2,2
93550,93550,0,29,5,5,7,0,1,0,4,4,2,5,5,5,5
93550,93550,1,22,4,1,7,0,0,1,3,1,2,3,3,4,3
90012,91762,0,46,1,6,5,7,0,5,3,2,2,4,5,4,5
92660,92675,1,39,0,0,4,3,0,3,3,2,2,3,4,2,2
92618,92618,1,36,4,1,3,3,0,4,5,0,2,2,4,4,4
